# Version 1.00
#
# Rohde & Schwarz ZVL6 2Ports - Version 3.20 - 1303.6509k06 SN: 100942
# Date: 2025-12-02 17:04:33
# Data & Calibration Information:
# Mem3[Trc2]:S12(Cal Off)
freq[Hz]	Mem3[Trc2]_S12[dB]	
1.478250000000000E+006	1.093982175871126E+001	
1.485700000000000E+006	1.092646244609914E+001	
1.493150000000000E+006	1.091447976878732E+001	
1.500600000000000E+006	1.090084471973601E+001	
1.508050000000000E+006	1.090441943869508E+001	
1.515500000000000E+006	1.089114869178620E+001	
1.522950000000000E+006	1.088794767133245E+001	
1.530400000000000E+006	1.087818831546659E+001	
1.537850000000000E+006	1.088100245396938E+001	
1.545300000000000E+006	1.086244598929215E+001	
1.552750000000000E+006	1.085041208129602E+001	
1.560200000000000E+006	1.084715821029754E+001	
1.567650000000000E+006	1.083108741867530E+001	
1.575100000000000E+006	1.082432791995324E+001	
1.582550000000000E+006	1.081832449940475E+001	
1.590000000000000E+006	1.080368200476391E+001	
1.597450000000000E+006	1.080095961219751E+001	
1.604900000000000E+006	1.077954895706490E+001	
1.612350000000000E+006	1.075446873909279E+001	
1.619800000000000E+006	1.074626722907319E+001	
1.627250000000000E+006	1.073309847833872E+001	
1.634700000000000E+006	1.072684614899565E+001	
1.642150000000000E+006	1.070663207781674E+001	
1.649600000000000E+006	1.068291787862797E+001	
1.657050000000000E+006	1.067310785736260E+001	
1.664500000000000E+006	1.065838795624508E+001	
1.671950000000000E+006	1.064922220559473E+001	
1.679400000000000E+006	1.063342872073438E+001	
1.686850000000000E+006	1.060906392393833E+001	
1.694300000000000E+006	1.060132968857523E+001	
1.701750000000000E+006	1.059238974107195E+001	
1.709200000000000E+006	1.056949567676977E+001	
1.716650000000000E+006	1.056335329737610E+001	
1.724100000000000E+006	1.055084070593761E+001	
1.731550000000000E+006	1.053099900157581E+001	
1.739000000000000E+006	1.052089148782052E+001	
1.746450000000000E+006	1.050674679200841E+001	
1.753900000000000E+006	1.048717536652803E+001	
1.761350000000000E+006	1.047742801545339E+001	
1.768800000000000E+006	1.046190723870184E+001	
1.776250000000000E+006	1.044677730242630E+001	
1.783700000000000E+006	1.043790636844001E+001	
1.791150000000000E+006	1.042152019185363E+001	
1.798600000000000E+006	1.040985651274707E+001	
1.806050000000000E+006	1.039026255023201E+001	
1.813500000000000E+006	1.038414253319424E+001	
1.820950000000000E+006	1.035784801130282E+001	
1.828400000000000E+006	1.034397155677484E+001	
1.835850000000000E+006	1.033439084923732E+001	
1.843300000000000E+006	1.031900858826356E+001	
1.850750000000000E+006	1.030731693708696E+001	
1.858200000000000E+006	1.028911467305852E+001	
1.865650000000000E+006	1.027630807470935E+001	
1.873100000000000E+006	1.025619546306380E+001	
1.880550000000000E+006	1.024461387892943E+001	
1.888000000000000E+006	1.022952948388575E+001	
1.895450000000000E+006	1.022190706619400E+001	
1.902900000000000E+006	1.019951488208653E+001	
1.910350000000000E+006	1.019294030328725E+001	
1.917800000000000E+006	1.016420379595166E+001	
1.925250000000000E+006	1.015230895661689E+001	
1.932700000000000E+006	1.014058482748732E+001	
1.940150000000000E+006	1.013059120237641E+001	
1.947600000000000E+006	1.010598722049106E+001	
1.955050000000000E+006	1.010074830817017E+001	
1.962500000000000E+006	1.008450543084084E+001	
1.969950000000000E+006	1.006241990067170E+001	
1.977400000000000E+006	1.004662942690665E+001	
1.984850000000000E+006	1.003453592566989E+001	
1.992300000000000E+006	1.001824684652055E+001	
1.999750000000000E+006	1.000644007804635E+001	
2.007200000000000E+006	9.990207867559553E+000	
2.014650000000000E+006	9.971560435980925E+000	
2.022100000000000E+006	9.957392536279958E+000	
2.029550000000000E+006	9.946945561489578E+000	
2.037000000000000E+006	9.932212807939258E+000	
2.044450000000000E+006	9.909445232482081E+000	
2.051900000000000E+006	9.898256262625861E+000	
2.059350000000000E+006	9.870617892332641E+000	
2.066800000000000E+006	9.865838614099506E+000	
2.074250000000000E+006	9.840769124834024E+000	
2.081700000000000E+006	9.830526939339254E+000	
2.089150000000000E+006	9.809212822289814E+000	
2.096600000000000E+006	9.794527909812775E+000	
2.104050000000000E+006	9.777792014305391E+000	
2.111500000000000E+006	9.754564559959210E+000	
2.118950000000000E+006	9.735022236524527E+000	
2.126400000000000E+006	9.725085714065285E+000	
2.133850000000000E+006	9.706402463069290E+000	
2.141300000000000E+006	9.680305045599106E+000	
2.148750000000000E+006	9.663916612286066E+000	
2.156200000000000E+006	9.650362738537458E+000	
2.163650000000000E+006	9.631593605487394E+000	
2.171100000000000E+006	9.613075308580177E+000	
2.178550000000000E+006	9.593046574555350E+000	
2.186000000000000E+006	9.580223103216506E+000	
2.193450000000000E+006	9.562420507166383E+000	
2.200900000000000E+006	9.543313899033384E+000	
2.208350000000000E+006	9.520490687731927E+000	
2.215800000000000E+006	9.499219027144067E+000	
2.223250000000000E+006	9.484036215678421E+000	
2.230700000000000E+006	9.463113228397770E+000	
2.238150000000000E+006	9.440219219204360E+000	
2.245600000000000E+006	9.425607199365180E+000	
2.253050000000000E+006	9.408749128012211E+000	
2.260500000000000E+006	9.391784619355107E+000	
2.267950000000000E+006	9.368468859015710E+000	
2.275400000000000E+006	9.347981184515417E+000	
2.282850000000000E+006	9.327932624269346E+000	
2.290300000000000E+006	9.310384055667750E+000	
2.297750000000000E+006	9.300846876397142E+000	
2.305200000000000E+006	9.274416280590845E+000	
2.312650000000000E+006	9.248599763751368E+000	
2.320100000000000E+006	9.231198339641614E+000	
2.327550000000000E+006	9.214802263828588E+000	
2.335000000000000E+006	9.192506415667607E+000	
2.342450000000000E+006	9.176837207715137E+000	
2.349900000000000E+006	9.152486800639277E+000	
2.357350000000000E+006	9.132795958189151E+000	
2.364800000000000E+006	9.105700515283406E+000	
2.372250000000000E+006	9.096731549849560E+000	
2.379700000000000E+006	9.074553661893356E+000	
2.387150000000000E+006	9.052023927055240E+000	
2.394600000000000E+006	9.032951045040628E+000	
2.402050000000000E+006	9.018044348674339E+000	
2.409500000000000E+006	8.999882348488672E+000	
2.416950000000000E+006	8.974793404963871E+000	
2.424400000000000E+006	8.957748049248165E+000	
2.431850000000000E+006	8.943964439415302E+000	
2.439300000000000E+006	8.917102150687674E+000	
2.446750000000000E+006	8.888841801718789E+000	
2.454200000000000E+006	8.873845206793760E+000	
2.461650000000000E+006	8.853513733547294E+000	
2.469100000000000E+006	8.835436614912576E+000	
2.476550000000000E+006	8.810680150459266E+000	
2.484000000000000E+006	8.786611150754791E+000	
2.491450000000000E+006	8.765846243421605E+000	
2.498900000000000E+006	8.744532249330279E+000	
2.506350000000000E+006	8.728949219661306E+000	
2.513800000000000E+006	8.710025384933939E+000	
2.521250000000000E+006	8.682192415479895E+000	
2.528700000000000E+006	8.667294623562352E+000	
2.536150000000000E+006	8.635263634749276E+000	
2.543600000000000E+006	8.620353700606820E+000	
2.551050000000000E+006	8.595177825867150E+000	
2.558500000000000E+006	8.574066161222788E+000	
2.565950000000000E+006	8.553568804723760E+000	
2.573400000000000E+006	8.536648119895201E+000	
2.580850000000000E+006	8.510816234828736E+000	
2.588300000000000E+006	8.488289695896306E+000	
2.595750000000000E+006	8.469512816051324E+000	
2.603200000000000E+006	8.446336234602473E+000	
2.610650000000000E+006	8.424739283660312E+000	
2.618100000000000E+006	8.410455538240790E+000	
2.625550000000000E+006	8.378972574171460E+000	
2.633000000000000E+006	8.361014443066882E+000	
2.640450000000000E+006	8.337599213254240E+000	
2.647900000000000E+006	8.307828885645639E+000	
2.655350000000000E+006	8.290542484369885E+000	
2.662800000000000E+006	8.270610048661711E+000	
2.670250000000000E+006	8.247709261603234E+000	
2.677700000000000E+006	8.223622570092138E+000	
